time,pacum
2001-01,38.947266
2001-02,36.498203
2001-03,131.62625
2001-04,167.0046
2001-05,335.22662
2001-06,263.54346
2001-07,298.58945
2001-08,177.08466
2001-09,274.9336
2001-10,229.28238
2001-11,210.68915
2001-12,165.58855
2002-01,25.597097
2002-02,20.931019
2002-03,205.02206
2002-04,293.6718
2002-05,468.56854
2002-06,313.06128
2002-07,350.65274
2002-08,207.3233
2002-09,210.35529
2002-10,273.0889
2002-11,191.17606
2002-12,95.96215
2003-01,11.328079
2003-02,44.12369
2003-03,192.37375
2003-04,304.58148
2003-05,301.07785
2003-06,343.32175
2003-07,266.2391
2003-08,250.75432
2003-09,273.50644
2003-10,308.2456
2003-11,201.09892
2003-12,109.61161
2004-01,25.052155
2004-02,83.238525
2004-03,119.57178
2004-04,299.1041
2004-05,362.5863
2004-06,306.77515
2004-07,297.0308
2004-08,245.27878
2004-09,221.51393
2004-10,219.1062
2004-11,228.83456
2004-12,89.15394
2005-01,72.40476
2005-02,126.288765
2005-03,68.42457
2005-04,259.76334
2005-05,332.81635
2005-06,340.31494
2005-07,262.75305
2005-08,210.91724
2005-09,197.28961
2005-10,253.79327
2005-11,180.7017
2005-12,103.59162
2006-01,119.0545
2006-02,52.712605
2006-03,180.74988
2006-04,231.40488
2006-05,274.37042
2006-06,322.63626
2006-07,265.6351
2006-08,262.9963
2006-09,191.42776
2006-10,220.54759
2006-11,153.90105
2006-12,114.65798
2007-01,121.38726
2007-02,86.34591
2007-03,231.66504
2007-04,296.40433
2007-05,384.0262
2007-06,409.67258
2007-07,347.95697
2007-08,278.45612
2007-09,284.14136
2007-10,291.7881
2007-11,191.45834
2007-12,153.57535
2008-01,43.91316
2008-02,51.95086
2008-03,95.80064
2008-04,185.86034
2008-05,325.21964
2008-06,359.86978
2008-07,308.45267
2008-08,235.57735
2008-09,216.08904
2008-10,266.86478
2008-11,261.07208
2008-12,65.18932
2009-01,102.73284
2009-02,59.239532
2009-03,136.9005
2009-04,215.46513
2009-05,175.2993
2009-06,387.22675
2009-07,350.81134
2009-08,272.89148
2009-09,202.75018
2009-10,270.10156
2009-11,106.739044
2009-12,59.457825
2010-01,10.800238
2010-02,42.427338
2010-03,159.64204
2010-04,295.0429
2010-05,294.0355
2010-06,306.55423
2010-07,389.87994
2010-08,214.99841
2010-09,236.62767
2010-10,224.012
2010-11,246.4409
2010-12,155.24088
2011-01,61.689144
2011-02,87.558
2011-03,133.05362
2011-04,311.47876
2011-05,466.41986
2011-06,366.0426
2011-07,307.66135
2011-08,226.92828
2011-09,308.11325
2011-10,243.41705
2011-11,266.8774
2011-12,161.24991
2012-01,34.11493
2012-02,77.2105
2012-03,218.29147
2012-04,412.33472
2012-05,356.21252
2012-06,279.8553
2012-07,338.47552
2012-08,268.81732
2012-09,215.03009
2012-10,283.76443
2012-11,159.33246
2012-12,92.05511
2013-01,16.115385
2013-02,84.941635
2013-03,147.78615
2013-04,200.98616
2013-05,366.944
2013-06,257.62415
2013-07,337.58945
2013-08,299.24695
2013-09,193.6477
2013-10,210.30666
2013-11,228.69669
2013-12,84.11958
2014-01,37.846245
2014-02,51.72371
2014-03,91.23366
2014-04,307.17676
2014-05,273.34335
2014-06,366.28915
2014-07,351.80225
2014-08,248.69478
2014-09,222.92963
2014-10,256.8644
2014-11,158.38354
2014-12,96.57771
2015-01,72.012535
2015-02,76.016495
2015-03,124.7336
2015-04,210.75027
2015-05,234.16684
2015-06,376.971
2015-07,326.34976
2015-08,223.93382
2015-09,148.23589
2015-10,229.62439
2015-11,219.05994
2015-12,88.73077
2016-01,7.4277935
2016-02,45.804253
2016-03,126.61837
2016-04,307.2718
2016-05,346.2984
2016-06,366.87894
2016-07,361.88455
2016-08,272.01852
2016-09,270.8322
2016-10,245.12506
2016-11,291.28952
2016-12,111.27894
2017-01,80.6938
2017-02,63.05477
2017-03,243.24188
2017-04,251.06421
2017-05,330.19608
2017-06,335.48883
2017-07,330.70886
2017-08,237.33595
2017-09,221.96385
2017-10,291.6139
2017-11,230.24753
2017-12,59.56384
2018-01,84.08532
2018-02,13.712604
2018-03,143.83487
2018-04,321.02997
2018-05,423.66864
2018-06,457.41986
2018-07,392.5722
2018-08,278.96997
2018-09,239.91194
2018-10,255.44276
2018-11,135.6676
2018-12,39.025227
2019-01,24.68105
2019-02,37.89338
2019-03,131.02017
2019-04,230.23053
2019-05,308.53165
2019-06,351.57532
2019-07,350.71262
2019-08,273.133
2019-09,260.967
2019-10,260.572
2019-11,197.84804
2019-12,84.22161
2020-01,21.6243
2020-02,45.396088
2020-03,94.37841
2020-04,194.66966
2020-05,215.10847
2020-06,260.66647
2020-07,244.05687
2020-08,228.63629
2020-09,191.34369
2020-10,60.946537
2020-11,163.5995
2020-12,85.90193
2021-01,121.9427
2021-02,31.445654
2021-03,139.31195
2021-04,208.91273
2021-05,237.38164
2021-06,162.70299
2021-07,124.51746
2021-08,132.7822
2021-09,145.0761
2021-10,151.83806
2021-11,123.13297
2021-12,38.61627
2022-01,20.230312
2022-02,112.087845
2022-03,164.92865
2022-04,345.93698
2022-05,455.65988
2022-06,335.77228
2022-07,335.7721
2022-08,344.62256
2022-09,274.02524
2022-10,294.62036
2022-11,201.54759
2022-12,23.455027
